FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
1.109766328125000000e+05,7.094000000000000000e+04,1.025227578125000000e+05,4.846835937500000000e+04,4.197300000000000000e+04,7.567775781250000000e+04,4.814280273437500000e+03,6.570839843750000000e+03,8.395400390625000853e+01
1.198166015625000000e+05,7.552800000000000000e+04,1.039654296875000000e+05,5.350987890625000000e+04,4.733300000000000000e+04,7.408834375000000000e+04,6.350240234375000000e+03,9.222160156250000000e+03,8.395499999999999829e+01
1.178170937500000000e+05,7.680000000000000000e+04,1.005372500000000000e+05,6.010792187500000000e+04,4.789600000000000000e+04,8.224555468750000000e+04,8.614620117187500000e+03,2.201772070312500000e+04,8.395499999999999829e+01
9.966928906250000000e+04,5.946900000000000000e+04,1.098375078125000000e+05,6.607764062500000000e+04,5.266900000000000000e+04,8.222035937500000000e+04,8.384140625000000000e+03,1.712035937500000000e+04,8.395700195312500114e+01
1.059822890625000000e+05,7.054000000000000000e+04,9.846407031250000000e+04,5.837867968750000000e+04,4.901600000000000000e+04,7.805421093750000000e+04,8.472719726562500000e+03,1.515856054687500000e+04,8.396000000000000796e+01
1.373927031250000000e+05,8.549200000000000000e+04,1.053217656250000000e+05,6.697456250000000000e+04,5.355600000000000000e+04,8.195617968750000000e+04,4.195939941406250000e+03,2.044624023437500000e+04,8.396200195312499659e+01
1.285981640625000000e+05,8.369600000000000000e+04,1.006954765625000000e+05,6.372619921875000000e+04,5.720800000000000000e+04,7.300308593750000000e+04,5.086899902343750000e+03,9.922560546875000000e+03,8.400200195312500284e+01
1.208178359375000000e+05,7.347200000000000000e+04,1.077678281250000000e+05,7.076488281250000000e+04,5.710800000000000000e+04,8.120836718750000000e+04,1.700219970703125000e+03,2.098479980468750000e+03,8.402799804687499829e+01
9.065526562500000000e+04,6.589700000000000000e+04,9.015864062500000000e+04,4.837519921875000000e+04,4.556500000000000000e+04,6.957790625000000000e+04,3.589640136718750000e+03,6.116600097656250000e+03,8.403499999999999659e+01
1.065209531250000000e+05,7.230400000000000000e+04,9.655008593750000000e+04,4.370155859375000000e+04,3.980400000000000000e+04,7.195320312500000000e+04,2.709860107421875000e+03,7.670399902343750000e+03,8.403900390625000227e+01
