"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
146083,129964,73664.3,75826.5,65034,76411.8,24044.7,33508.9,0.751
78943.8,67026,77188.9,50145.2,45288,72564.9,28868.3,53406.7,0.759
132803,120825,72033.1,72543.1,64735,73440.7,16941.2,45381.8,0.765
125093,112109,73126,53784,49659,70979.8,19006.3,30027.2,0.765
125758,110242,74759.9,52826.6,46104,75092,31791.7,41164.1,0.765
105500,93010,74336.3,47006.1,44296,69545.6,15533,56226.4,0.766
141527,126052,73581.8,40170.9,36070,72987,12181.5,35664.8,0.769
122052,107711,74261.6,46869.8,42656,72010,20659.8,36973.3,0.771
86912.9,81103,70230.7,59499.6,53056,73495.3,33379.9,41469.4,0.776
106674,96056,72780.6,37757.4,34126,72509.9,12009.9,18337,0.778
95558.1,84376,74221.3,47789.6,45722,68499.6,9489.3,50525.2,0.782
116332,103908,73371.8,49969,46182,70910,22356.5,51256.9,0.784
131712,116950,73808.4,66632.8,60444,72246.2,21123.7,25536.2,0.79
118800,103193,75447.8,58596.8,51643,74360.5,20307.8,46909.5,0.791
95316.1,82939,75316.1,64064.8,56356,74500.5,43974.6,78347.9,0.793
106364,95628,72893.3,32242.5,29773,70971.8,9714.43,24326.9,0.796
138268,128832,70335.9,47382.6,43318,71685.3,16523.3,32737.2,0.798
116648,105945,72156.8,37625.4,35400,69655.8,21479.5,73204.4,0.799
162078,134453,79001.3,56412.7,51223,72175.8,30347,52951.7,0.8
86193.4,77121,73245.6,31466,29575,69726.4,9417.86,22018,0.803
148011,116302,83404,72920,63105,75729.1,42148.2,49604.8,0.803
116131,102140,74512.8,60205.6,54474,72431.5,27829.6,42489.9,0.809
93308.2,77887,78511.8,56079,49008,74991.7,35749.1,53057.8,0.81
153695,131875,76379.4,48418.5,42601,74485.4,15757.7,46952.2,0.81
113854,102951,72476.7,34810.1,32349,70521.9,9423.5,24033.8,0.81
107654,96541,73080.1,44972.9,42299,69678.8,9803.26,36582.6,0.811
165767,145211,74813.2,65461.1,58004,73961.5,9638.29,13245.8,0.811
111246,102471,71148.4,29928.2,27661,70907.6,12093.6,28916.2,0.812
133445,111353,78538.1,59666,52335,74716.2,32232.6,54488.1,0.813
133789,120532,72744.2,51203.2,46198,72636.3,24357.3,55697.4,0.814
131428,114821,75015,46627.8,42403,72065.6,25109.8,39217.9,0.815
127570,118069,70809.4,38445.5,33543,75114.5,12141.5,25364,0.816
123595,111685,72524.5,36159.4,32211,73569.5,16802.5,41615.6,0.816
132812,116416,74765.9,58979.4,53542,72191.4,21765.7,35027.1,0.818
168627,146000,75692.9,56208.2,49862,73877.2,12099.7,22151.1,0.818
123370,106008,76269.6,63577.8,57854,72019.9,8361.77,55486.9,0.82
126660,109492,75811.6,68109.6,56630,78820.9,13053.8,28063.6,0.823
118810,102044,76303.5,61015.4,54986,72722.2,27521.3,45888.1,0.823
139367,123340,74051.9,49985,39486,82961.4,29281.9,74224,0.825
126616,113921,72839.3,44774.1,39443,74393.8,20809.7,33036.5,0.826
138877,118180,77013.5,68591.3,58646,76649.8,45826.9,69796.6,0.83
135266,122444,72398.6,49147.9,44794,71906,23137.6,62606.1,0.834
134009,117325,74855.5,46157.3,39339,76894.8,9146.2,21505.5,0.839
179602,144284,81578,73024.4,62734,76286,28625.3,47571.6,0.843
106426,95005,73414.4,51276.1,44571,75394.9,19759.7,31754.1,0.843
138511,124145,73119.6,82334.6,70707,76313.2,25465.5,52425.3,0.845
109772,96544,74515.2,77690.1,63730,79891.7,46396.1,70149.8,0.849
120270,109096,72248.3,47439,43290,71817.1,18888.8,31716.7,0.853
88424.9,77188,75076.6,48899.7,42946,74621.5,16435.4,38688,0.853
111012,99317,73253.3,49527.7,43683,74304.5,11280.5,28850.1,0.853
115247,106397,70987.2,38787.7,36299,70029.2,10831.6,23860.6,0.854
80559.8,72386,72936.3,37800.2,34508,71788.4,6185.2,15436.4,0.854
109413,96688,74161,40040.2,33986,77210.5,19400.7,31693.2,0.862
107271,93813,74937.6,76171,63095,79117.9,22098.5,59958.7,0.863
142922,125696,74517.4,60791.7,53974,73814.1,19534.6,31191.2,0.863
107016,92440,75869.9,52609,41770,82542.1,19607.9,26952.6,0.868
108922,98833,72226,84067.5,73059,75410.9,20005.1,28610.8,0.868
153670,136544,73755.8,51007.7,45986,72692.6,12657.6,32826.8,0.869
123897,109672,74036.5,33480,30634,71624.5,17758.5,36987.2,0.872
115029,107085,70398,46946.9,40991,75058.2,26795.2,39410.1,0.873
157790,138948,74422.8,49523,45602,71170.9,33448,57141.6,0.881
124298,108372,75167,66003,55858,77438.8,24619.5,35008.8,0.883
115799,110105,68925.2,74777,63247,77483.3,23590.2,52110.4,0.883
130115,117524,72557.3,42751.2,39558,70826.2,22532.3,37492.6,0.885
127585,111249,75159.5,49230.6,42131,76579.7,25851.4,40073.9,0.886
99205.4,90653,71718.8,32444.6,31115,68336.4,17155.9,25865.1,0.89
109984,102546,70289.4,40851,37692,71028.6,15899.2,32729.4,0.891
105688,94087,73616.8,45340.9,39705,74838.5,5838.34,14060.1,0.892
149387,123849,79049.6,68008.5,60367,73831.9,25305.3,44909.4,0.892
137123,123383,72834,58298.3,52063,73384.9,18752.5,41180.6,0.892
142232,121941,76441.2,72449.1,60663,78268.9,28036,45728.9,0.893
107623,95992,73477.1,54642.7,43690,81965.2,14082.1,31147.7,0.894
109255,92427,77468.1,71495.5,59138,79230.4,24519.4,55333.7,0.895
148517,130877,74368.9,61768.8,55787,72563.2,18863.9,56093.2,0.896
97465.7,88540,72142.7,41875.1,39294,69840.9,23642.4,33899.6,0.898
103107,92253,73246.4,37836.4,34811,71231.7,10872,26600.2,0.9
113914,102794,72625.8,36360.1,34120,69838.8,9312.58,27499.8,0.902
117816,102525,75310.4,46814.8,38287,80133.1,24189.5,32926.9,0.903
125839,112913,73038.4,48172.2,42755,73839.6,23676.2,60677.3,0.903
