"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
148522,129748,75018.8,50266.5,43910,75023.1,31497.1,348.87,0.687
130352,115052,74251.2,88270.7,73642,78554.5,36993.2,406.29,0.689
107266,92725,75813.3,56718.2,49379,75276.6,10356,86.13,0.69
109288,97581,73398.6,31360.3,29483,69708.9,28208.5,747.33,0.692
93026.7,80269,75952.1,45887,41595,72298.4,15976.7,169.65,0.692
120553,109669,72040.1,52990.6,45735,75932.9,49231.6,307.11,0.693
162615,147643,72181.8,45975.4,41668,72310.7,11448.7,143.55,0.694
135567,117238,75781.7,58782,46988,81985.5,22467.9,419.34,0.697
113010,102165,72493.1,37524.8,34755,70758.9,7513.42,348.87,0.698
137877,122301,73882.6,65200.8,58351,73229.2,33730.5,531.57,0.7
136933,113939,78761.7,89567.4,72061,81457.2,71575.8,1271.07,0.701
86661.7,75157,75568,47563.1,42131,73985.7,55045.9,379.32,0.702
120724,111508,70952.3,36333.4,33862,70319,13129.9,130.5,0.704
150941,117901,83901.6,61719.5,49439,81814.9,33985.2,201.84,0.708
107020,97957,71599.7,38455.9,35795,70407.7,29723.3,144.42,0.709
97261.5,85914,74192,29723.7,27863,69912.6,8251.79,113.97,0.71
118002,104580,73946.7,65781.7,60038,71805.7,8639.54,163.56,0.71
135280,123226,71946.5,31548.3,29075,71110.9,11765.5,40.89,0.713
140213,125573,73176.4,44868.1,41187,71393.3,15102,107.88,0.716
74396.7,67695,72024,42379,38976,71257.9,24157.1,610.74,0.717
103168,93132,72598.5,36657.2,34378,69880.9,28206.6,146.16,0.718
145344,134085,71039,51183,47139,71158.3,28547.3,703.83,0.718
112769,102200,72313.1,48904.9,44478,72058.8,38031,156.6,0.72
96427,86081,73412.7,34840.6,32771,69674.9,8537.08,88.74,0.721
102819,90212,74694.4,72003.5,60134,78471.8,31091.4,452.4,0.721
110447,98253,73669.5,60113.5,53231,74009.4,34682.7,203.58,0.722
149588,129987,75418.2,68284.9,59759,74886.1,39654.4,572.46,0.723
89827.4,74464,79057.4,67615.6,57346,77272.3,19113.5,267.09,0.724
110793,97425,74528.6,77675,66883,76110.7,34419,301.89,0.725
112974,95892,77210.6,70486.4,55830,82740.4,51337.6,636.84,0.73
141465,125356,73957.6,51105.4,45502,73606.6,36204.1,1113.6,0.737
110320,98228,73603.5,44170.6,41122,70394.5,6995.01,110.49,0.738
103268,93010,72763.7,45259.1,40572,73107.1,30660.4,224.46,0.74
103289,90123,75110,45394.5,40009,74357.6,13121,489.81,0.74
104195,93736,72848.2,33344.1,30734,71101.8,12638.3,428.91,0.741
122816,112348,71642.2,48111.1,43018,73295.1,11352.4,309.72,0.742
149283,132392,73897.5,71877.6,61598,76472.8,30724.4,500.25,0.742
159920,143056,73261.8,67385.8,58770,75143.7,13184.4,369.75,0.744
122187,111073,72093.6,45055.1,40483,72937.6,12403.3,446.31,0.744
127926,101863,82304,85388.2,71725,78020.2,19312.3,288.84,0.745
136565,120390,74341.2,68028.3,59816,74533.6,60809.1,869.13,0.748
113546,105084,70813.6,54320.2,48334,73652.8,62517.1,445.44,0.748
107432,98062,71797.8,66216.4,60389,71860.1,29510.4,879.57,0.748
117700,108005,71418.6,36429.7,34003,70213.1,2525.78,125.28,0.75
136429,115472,77429.9,69072.1,59158,76519,29056.3,221.85,0.751
119738,103951,75489.2,65325.8,57248,74783.2,26198.3,321.9,0.751
101162,88742,74708.4,34938.9,32568,70306.8,17498.6,147.9,0.752
101706,94314,70672.8,35390.1,32117,72214.8,27187.2,532.44,0.754
99955.2,90497,72385.5,39573.5,36563,70932.1,6311.63,50.46,0.755
108871,96851,73669.5,45758.3,40969,73197.1,3569.18,368.01,0.756
136925,124541,72052.7,53193.7,43503,80134.7,48895,1022.25,0.764
