"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
66857.8,44660,98110,62605.8,41640,98533.4,19341.4,0.545
83265.1,52593,103756,66919,43849,100016,29223.6,0.545
75713,47793,103821,61933,43117,94135.5,24783.4,0.548
69023.5,49178,91982.7,103229,76727,88172.4,11389.1,0.549
102077,71261,93875.9,83476.9,59888,91349.5,27805.6,0.55
150090,95362,103147,125899,81130,101700,14971.6,0.55
51755.8,36922,91865.7,76309.9,54343,92027.4,17570.2,0.551
60754.3,41119,96831,62668.6,44818,91638.3,16569.7,0.551
102422,72957,92004,82662.7,62029,87336.3,24005.1,0.551
85824,58408,96297.8,84935.5,60709,91688.8,17014,0.551
101902,67434,99034.2,89151.5,63994,91299.7,25650.1,0.552
55659.6,36380,100267,75746.1,48172,103049,10053.3,0.554
102144,70344,95162,53183.8,40840,85344.1,30565.6,0.557
90039.6,65573,89988.8,48372.4,37705,84077.4,14833.6,0.558
171361,99798,112531,110548,70590,102633,28541.8,0.558
65173,45824,93208.3,58017.3,43812,86784.9,25899.8,0.559
89277.1,59133,98944.2,80267,53184,98909,20858,0.561
94842.7,63283,98219.3,82733.1,55631,97463.5,26856.9,0.561
54010.1,45761,77349.8,67871.9,60573,73432.9,29178.7,0.562
62746.6,37837,108681,61341.7,39568,101600,25511.4,0.562
63351.4,40817,101717,65940.5,45545,94883.7,12131.6,0.564
70133,44154,104096,53858.6,34179,103270,20875.3,0.564
94063.7,63157,97606.9,66104.1,54969,78811.6,14322.3,0.565
82103.8,53744,100118,88464.2,61544,94202.4,25373.4,0.568
73746,52325,92365.4,62552.6,46297,88546.8,17608.8,0.569
88842.2,64583,90153.2,48146.1,36795,85753.6,30181.3,0.57
91049.8,63824,93492.1,98483,70236,91892.8,22080.7,0.572
131599,90079,95743.8,81769.8,55330,96852.8,25992.3,0.573
114115,84053,88975.3,78843.5,61397,84158.7,21133.3,0.577
109403,77827,92124.9,73350.5,55195,87092.9,16416.5,0.578
101882,65997,101170,87639.7,58208,98672.9,14679.8,0.578
79636.3,46240,112869,80078.6,51032,102838,27124.6,0.579
102213,76713,87320.4,51082.8,40765,82123.4,20609.6,0.58
101591,71440,93194.8,80364.3,55624,94684.9,27268.8,0.581
84274.6,51616,107002,85141.9,54392,102586,22160,0.582
74003,48338,100332,48218.6,32666,96738.3,27522,0.583
90931,55524,107327,87328.5,55352,103396,27533.1,0.583
94781.5,61120,101630,68784,48340,93252.6,17348.7,0.583
91290.2,62101,96339.8,110455,73517,98463.6,22138,0.584
75801.6,51839,95830,65509.3,49138,87370.6,30446.9,0.588
92108.9,57870,104310,81747.1,55703,96177.5,10098.2,0.591
64404,46321,91120.2,55824.4,41337,88504.5,28819.2,0.592
108396,78105,90952.4,96782.2,77033,82337.6,27659.3,0.593
79612.6,48167,108321,56208.8,36703,100365,18401.6,0.593
109241,77461,92423.1,67993.3,50777,87756.4,16952.6,0.594
103352,71444,94805.8,73901.1,53196,91044.1,17901.4,0.595
59494.3,36330,107322,63676,41059,101636,25639.7,0.597
128678,91609,92055,83742.5,61684,88972,28356.2,0.597
104852,77294,88902,64777.9,49757,85320.3,29072.5,0.598
81293.8,54423,97893.7,67896,48079,92548.4,17392.8,0.598
78696,49571,104041,59273.8,38923,99801.3,22466.4,0.599
78485.8,50604,101645,74965.7,51980,94516.2,15449.1,0.6
72418.3,45553,104186,56980.9,36733,101661,17218.9,0.6
106844,78305,89421.6,107920,85245,82968.6,30669.8,0.601
62143.2,42065,96817.2,58270.5,40333,94682.2,23160.5,0.603
133962,76532,114714,104708,67544,101595,30104,0.604
61472.2,43206,93242.6,126529,85386,97114.1,11654.1,0.606
99155.5,71227,91233,60733.1,44118,90217.3,27771.8,0.607
64118.2,43188,97296.7,61470,43244,93157.4,11616.8,0.608
66177.4,43913,98763.5,52420.7,36564,93956.9,21358.9,0.609
63586.8,50024,83304.5,129663,99573,85340.2,20957.4,0.609
82928.2,48519,112013,52878.1,35083,98777.8,14238.2,0.609
73345.7,47442,101319,72034.6,49182,95987.6,17670.9,0.61
88377.8,65977,87787.1,81148.1,60644,87694.2,14211.9,0.611
107043,69020,101640,81102.6,55976,94953.9,27360.6,0.611
105301,70372,98065.1,69897.7,48392,94660.6,28103.7,0.611
103787,67084,101392,122685,81160,99067.4,24529.5,0.611
65923.9,44997,96015.1,67248.1,50265,87678.7,19843,0.612
135703,88826,100122,84270.4,56387,97943.6,12651.8,0.612
87205,66078,86489.7,98287,75502,85313.5,24826.2,0.614
70429,43649,105744,70666.4,46249,100136,23611.8,0.615
67924.1,48015,92710.1,59932.7,44226,88810.9,21779.8,0.616
91579.7,62156,96559.7,63807.1,42904,97465.5,21696.4,0.617
101871,65860,101369,62008.2,44964,90378.3,30360.7,0.617
80120.2,51409,102137,66553.3,42941,101573,18853.6,0.617
88558.6,65040,89233.9,49188,39464,81684.2,27298.5,0.618
125464,96472,85230.8,75967.6,59592,83545,26294.5,0.618
84299.8,60254,91689.7,50200.3,37223,88384.2,30017.8,0.618
64804.3,46296,91736.1,64569.5,49669,85196.6,15876.2,0.62
69557,44908,101507,53074.8,36693,94794.9,26931.4,0.62
78086.9,56928,89894.3,67893.9,55176,80641.9,17982.8,0.621
63695.5,46688,89409.5,57657.8,42212,89516.3,26603.6,0.623
92441.5,59989,100989,81843.7,56505,94924.5,29514.8,0.624
69922.8,45431,100866,60115.6,43455,90662.4,17301.1,0.625
91429.2,63225,94771.1,52671.1,38100,90599.9,19822.3,0.626
70196.4,44829,102621,78547.5,53933,95446,12060.5,0.628
71079.8,50017,93134.1,64173.4,47769,88041.9,15403.6,0.628
103972,75209,90599.3,71832.5,54877,85784.8,23996.8,0.628
74705.8,48558,100826,64928.3,44717,95157.1,17195.5,0.629
71067.6,42671,109149,62093.8,40322,100922,24130,0.63
107311,80316,87563.3,70954.8,55352,84009.5,23292.3,0.63
127634,82329,101600,87657.6,59273,96919.8,30654.6,0.63
104494,72857,93994.3,59894.8,45236,86773,30117.8,0.631
70766.6,56145,82603.3,49702.1,41849,77834,14666.6,0.632
114196,75590,99007.4,96981.6,71738,88597.2,27272.2,0.632
93929.8,63993,96194.6,62394.6,43965,93007.9,26289,0.632
77305,52548,96412,99680.2,73660,88686.4,25197.4,0.634
72458.6,50941,93218.6,54154.6,39968,88798,21959.2,0.637
85124.9,48288,115531,85393.7,55864,100178,15657.5,0.639
71650.8,48725,96371.6,72786,50389,94665.6,21779.2,0.639
