step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,6136090.0,3983307.0,1191224.0,2234808.0,7186292.0,1863489.0,2614728.0,1267610.0,2235962.0,1087655.0
ba4,wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,ba4,wuhan,ba4,ba1,ba4,6392909.0,1379146.0,2832452.0,2665467.0,494113.0,390968.0,1357039.0,2346987.0,3321257.0,3613817.0
wuhan,ba4,ba4,wuhan,ba4,ba4,ba1,wuhan,ba4,wuhan,wuhan,ba1,ba4,1884301.0,1455843.0,1577948.0,2822322.0,92987.0,234539.0,2351695.0,3578933.0,2056115.0,3146527.0
ba1,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,wuhan,2765449.0,2378403.0,2778700.0,2633368.0,2706121.0,960816.0,4870433.0,895215.0,2352237.0,1039036.0
ba1,wuhan,ba1,wuhan,ba1,ba1,wuhan,ba1,ba1,ba4,ba1,ba1,ba4,5059131.0,2530165.0,2808734.0,6634404.0,316317.0,518852.0,4785160.0,1701001.0,1837653.0,6876332.0
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,wuhan,wuhan,wuhan,ba1,ba1,1168371.0,841380.0,52180.0,49145.0,552180.0,115640.0,81450.0,237363.0,137558.0,106336.0
ba1,wuhan,wuhan,ba4,ba1,wuhan,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,2574133.0,2495455.0,2272078.0,2540080.0,2044428.0,773323.0,4536450.0,502183.0,1618969.0,627426.0
ba1,wuhan,ba4,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,6028817.0,2285932.0,4173203.0,3394767.0,3912636.0,1850930.0,7067336.0,481145.0,2747988.0,2693474.0
ba4,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,ba4,ba1,ba4,ba1,ba4,ba4,3304069.0,1090364.0,1013401.0,1876799.0,19458.0,90223.0,1425823.0,1088613.0,1779631.0,2526600.0
wuhan,ba4,ba1,ba4,ba4,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,ba1,3515267.0,6660546.0,1006090.0,1935834.0,4703106.0,3253076.0,2919341.0,4906096.0,1785353.0,2100813.0
ba1,ba4,ba4,wuhan,ba1,wuhan,ba1,ba4,wuhan,wuhan,ba1,ba4,ba4,3155970.0,3083919.0,1710431.0,8796005.0,64498.0,217220.0,3740729.0,1256655.0,1855338.0,4738897.0
ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba4,wuhan,wuhan,wuhan,ba4,3776865.0,2557658.0,1038527.0,2967015.0,182098.0,266457.0,2286925.0,1033316.0,1664629.0,1996644.0
ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,5576698.0,5082638.0,3134847.0,8013245.0,269855.0,987491.0,5155435.0,2460676.0,4308926.0,6229058.0
ba1,ba1,wuhan,ba1,ba4,wuhan,ba4,wuhan,wuhan,ba1,ba4,ba4,ba4,2150398.0,1787053.0,896819.0,4078887.0,221117.0,121074.0,3020510.0,1514856.0,1208650.0,2938565.0
ba4,ba4,ba1,wuhan,ba4,ba4,ba4,wuhan,wuhan,ba4,wuhan,ba4,ba4,2477519.0,959909.0,660717.0,1617064.0,44951.0,57641.0,1636716.0,1224301.0,3012919.0,2016685.0
ba1,ba1,ba1,ba4,ba4,ba1,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,3679754.0,5055272.0,4264425.0,3658248.0,4781801.0,1517915.0,5920531.0,2141295.0,3541630.0,1799561.0
