path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
64,0000000000000->0100000000000->0110000000000->0110000000100->0111000000100->0111100000100->0111100000101->0111100001101->0111101001101->0111111001101->0111111101101->0111111101111->0111111111111->1111111111111,0,2048,3072,3076,3588,3844,3845,3853,3917,4045,4077,4079,4095,8191
65,0000000000000->0000100000000->0001100000000->0011100000000->0011100100000->1011100100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,256,768,1792,1824,5920,6048,8096,8104,8168,8169,8185,8187,8191
66,0000000000000->0001000000000->0001000100000->0001010100000->1001010100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,544,672,4768,5024,6048,8096,8104,8168,8169,8171,8187,8191
67,0000000000000->0000000000100->0000010000100->1000010000100->1000010000101->1000010000111->1100010000111->1101010000111->1101010001111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,4,132,4228,4229,4231,6279,6791,6799,6831,7855,7919,7935,8191
68,0000000000000->0100000000000->0100000000001->0100010000001->0100011000001->0100011010001->0101011010001->0101011011001->0101111011001->0101111111001->0111111111001->0111111111011->1111111111011->1111111111111,0,2048,2049,2177,2241,2257,2769,2777,3033,3065,4089,4091,8187,8191
69,0000000000000->0000001000000->0000001000100->0000001000101->0001001000101->0001001001101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,68,69,581,589,4685,4941,5965,5997,6125,6127,8175,8191
70,0000000000000->0000000000010->0000000000110->0001000000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,2,6,518,774,790,1814,3862,3870,3998,8094,8158,8190,8191
71,0000000000000->1000000000000->1000000000001->1000001000001->1000001000101->1001001000101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,4096,4097,4161,4165,4677,4685,4941,5965,5997,6125,6127,8175,8191
72,0000000000000->0100000000000->0101000000000->0111000000000->1111000000000->1111000100000->1111100100000->1111100101000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,2048,2560,3584,7680,7712,7968,7976,8104,8168,8169,8185,8187,8191
73,0000000000000->0000010000000->0000010000010->0000010000110->0100010000110->0100010000111->0101010000111->0101010001111->1101010001111->1101010101111->1111010101111->1111011101111->1111111101111->1111111111111,0,128,130,134,2182,2183,2695,2703,6799,6831,7855,7919,8175,8191
74,0000000000000->0000001000000->0000001000010->1000001000010->1100001000010->1100011000010->1100111000010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,64,66,4162,6210,6338,6594,6610,7122,7123,7155,7163,8187,8191
75,0000000000000->0000000000100->0001000000100->0001000000101->0001000010101->0001000011101->1001000011101->1001100011101->1011100011101->1111100011101->1111101011101->1111111011101->1111111111101->1111111111111,0,4,516,517,533,541,4637,4893,5917,7965,8029,8157,8189,8191
76,0000000000000->0000000010000->0000100010000->0000100010010->0000100010110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->0111111011110->0111111111110->1111111111110->1111111111111,0,16,272,274,278,790,1814,3862,3870,3998,4062,4094,8190,8191
77,0000000000000->0000001000000->0000001000001->1000001000001->1000001000101->1001001000101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,65,4161,4165,4677,4685,4941,5965,5997,6125,6127,8175,8191
78,0000000000000->0001000000000->1001000000000->1001000100000->1001010100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,4608,4640,4768,5024,6048,8096,8104,8168,8169,8171,8187,8191
79,0000000000000->0100000000000->0101000000000->0101000000010->0101000010010->0101000010011->0101000110011->0101000111011->0101100111011->0111100111011->1111100111011->1111101111011->1111111111011->1111111111111,0,2048,2560,2562,2578,2579,2611,2619,2875,3899,7995,8059,8187,8191
80,0000000000000->0100000000000->0110000000000->0110000000010->0110010000010->0110010000011->0111010000011->0111110000011->0111110001011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2048,3072,3074,3202,3203,3715,3971,3979,8075,8107,8171,8187,8191
81,0000000000000->0000000010000->0000001010000->0000001010010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,16,80,82,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
82,0000000000000->0000000010000->0000000010100->0000000010101->0000010010101->0100010010101->0101010010101->0101010011101->0101011011101->1101011011101->1101011111101->1111011111101->1111111111101->1111111111111,0,16,20,21,149,2197,2709,2717,2781,6877,6909,7933,8189,8191
83,0000000000000->1000000000000->1001000000000->1001000010000->1001000010001->1001100010001->1001100110001->1011100110001->1111100110001->1111100111001->1111101111001->1111101111011->1111111111011->1111111111111,0,4096,4608,4624,4625,4881,4913,5937,7985,7993,8057,8059,8187,8191
84,0000000000000->0000100000000->1000100000000->1000100000010->1000110000010->1000110000011->1000110010011->1100110010011->1101110010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,256,4352,4354,4482,4483,4499,6547,7059,7123,7155,7163,8187,8191
85,0000000000000->0000100000000->1000100000000->1000100000010->1000110000010->1000110000011->1000110010011->1100110010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,256,4352,4354,4482,4483,4499,6547,7059,7067,7099,7163,8187,8191
86,0000000000000->1000000000000->1000001000000->1000001000010->1000011000010->1000011010010->1100011010010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,4096,4160,4162,4290,4306,6354,6610,7122,7123,7155,7163,8187,8191
87,0000000000000->0001000000000->0001000100000->0001010100000->0001110100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,512,544,672,928,5024,6048,8096,8104,8168,8169,8185,8187,8191
88,0000000000000->0001000000000->1001000000000->1001000100000->1001000110000->1001000111000->1001010111000->1101010111000->1101011111000->1101011111001->1101111111001->1101111111011->1111111111011->1111111111111,0,512,4608,4640,4656,4664,4792,6840,6904,6905,7161,7163,8187,8191
89,0000000000000->0100000000000->0100000010000->0100000011000->0100000011010->0100100011010->0100100011011->0100110011011->0101110011011->0101110111011->0101111111011->1101111111011->1111111111011->1111111111111,0,2048,2064,2072,2074,2330,2331,2459,2971,3003,3067,7163,8187,8191
