step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,553273.0,317424.0,1729131.0,1042997.0,310626.0,484709.0,1111600.0,544778.0,869218.0,860169.0
ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,3048511.0,844039.0,54388.0,317417.0,50689.0,36054.0,261212.0,70959.0,138170.0,828685.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,331835.0,696832.0,1381285.0,178747.0,315036.0,441905.0,423561.0,331766.0,196886.0,149405.0
ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,1096683.0,266287.0,1721771.0,1248606.0,688520.0,204689.0,2090685.0,321506.0,823400.0,832233.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,605761.0,1071022.0,1792334.0,395118.0,457320.0,901334.0,564479.0,428397.0,1165218.0,238744.0
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,365403.0,304609.0,97327.0,170863.0,413495.0,418597.0,193915.0,484185.0,148972.0,13961.0
wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,626341.0,1291096.0,861485.0,371176.0,372175.0,729080.0,594190.0,580254.0,130010.0,190389.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,650580.0,239862.0,1305776.0,701077.0,210902.0,203648.0,1066516.0,127863.0,760853.0,391479.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,851333.0,833786.0,28777.0,312095.0,11041.0,37524.0,116317.0,96297.0,11571.0,202226.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,740208.0,538300.0,298606.0,702839.0,21419.0,36619.0,257834.0,341553.0,3331.0,290133.0
ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,571084.0,667921.0,1222063.0,397026.0,429019.0,499684.0,413376.0,613950.0,422442.0,265547.0
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,755144.0,265074.0,1809352.0,941596.0,410119.0,495348.0,1099578.0,527217.0,938974.0,704401.0
ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,1297603.0,968967.0,237266.0,137905.0,85868.0,20671.0,303280.0,127845.0,51015.0,1104542.0
wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,910037.0,1179079.0,1100395.0,382629.0,826553.0,627216.0,1087397.0,844893.0,331587.0,250255.0
ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,1145311.0,327061.0,568610.0,334582.0,773341.0,451119.0,1480354.0,281047.0,612348.0,1694470.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba1,82572.0,775185.0,464492.0,130044.0,227272.0,432440.0,107985.0,171628.0,187086.0,15460.0
