"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
167288,107988,101524,71489.5,44388,105550,3116.04,4.627
71047.6,47858,97291.4,20553.7,14906,90366.9,7737.66,4.633
65378.2,49240,87015.2,31001.7,25560,79488.6,6945.54,4.653
76814.9,53810,93554,59421.4,42266,92136.5,6429.42,4.657
112125,83706,87786.4,33754.8,25395,87109.9,3371.34,4.671
64668.9,43852,96646.5,29186.3,22488,85056.6,3318.9,4.695
86127.3,59895,94238.9,25210.5,17939,92100.9,4478.79,4.699
69287.5,51044,88959,24291.4,17876,89056,2497.11,4.72
74776.5,53339,91875.6,31675.1,23691,87622.4,2485.38,4.765
85618.2,68838,81511.3,45662.1,37782,79204.7,6775.11,4.768
76800.7,56812,88594.1,34061.9,24933,89531,2292.87,4.785
101898,67147,99453.7,29732.1,22911,85047.5,4947.3,4.789
66571.7,47043,92741.6,36196,26571,89275.6,3651.48,4.801
60809.4,43058,92554.3,33009.6,25626,84418.8,5948.49,4.815
65356.2,43984,97380.5,27548.2,18572,97211,2655.12,4.825
85145.3,60706,91919.8,31828.3,23834,87517.9,3545.22,4.836
91314.5,71545,83645.1,26803.1,21613,81273.5,3086.37,4.845
75785.4,51702,96063.4,25492.7,18242,91584.9,5203.98,4.847
84211,56967,96878,43091.2,31043,90971.4,8251.71,4.848
75453.8,50577,97770.6,25010.4,16578,98871,3376.86,4.852
87462.8,64166,89330.2,44747.9,34734,84430.2,2562.66,4.867
75547.5,50838,97389.4,31937.3,23258,89992.5,5739.42,4.875
84250,58997,93588,38720.7,27329,92853.8,3190.56,4.881
87225.6,63639,89825.7,32005,24171,86776.6,2846.94,4.89
94865.2,54862,113322,60533.7,39015,101682,9608.94,4.891
94135.3,62839,98175.6,28437.7,20155,92467.9,9957.39,4.931
112403,82933,88824,38406.8,28909,87067.2,2355.66,4.934
90490.2,62821,94401,24349.4,16069,99306.9,7187.73,4.938
65490.4,42889,100072,46018.2,30105,100178,6027.84,4.985
94317.1,58498,105665,40305.7,24466,107965,4869.33,4.988
71445.2,46627,100419,40006.2,28067,93413.8,5201.22,5.009
82235,56353,95635.6,37322.8,27105,90241.1,3120.87,5.018
107424,79382,88686.6,35176.9,25766,89472.7,8024.01,5.057
106101,76538,90849.4,36004.9,27242,86616.9,2498.49,5.058
86641.3,60962,93142,26755.4,20062,87401.3,2755.17,5.063
136601,91043,98330.4,41956.1,28003,98190.8,2633.73,5.065
74521.6,56511,86423,19008.8,14498,85926.4,4534.68,5.068
90017.3,68671,85907.8,19005.4,15074,82628.1,3558.33,5.08
93893.9,61677,99768.7,32678.4,21657,98887.7,3897.12,5.081
82478.6,57719,93648.8,33783.1,24751,89451.3,4116.54,5.084
87550.8,62647,91588.3,29473.3,22255,86792.4,5800.83,5.098
71059.6,48184,96649.6,23373.1,14572,105118,4697.52,5.117
86167,59751,94509.6,28529.4,20635,90608.4,8800.95,5.13
91021.3,59488,100275,47509.9,31780,97973.9,8313.81,5.139
89051,67798,86080,30468.3,23642,84458.7,4017.87,5.143
94818.4,57892,107338,36404.4,23952,99607.5,2577.15,5.154
73649,45847,105278,52953.4,34175,101546,3150.54,5.155
67344.9,47407,93098.4,28902.7,20363,93020.1,6513.6,5.156
72547.1,49882,95313.9,35617.1,25399,91901.4,3036,5.188
60723.5,42510,93615,31523.3,24266,85136.1,9811.8,5.195
69799.4,46870,97597,31346.7,22406,91686.9,3421.02,5.203
151023,95779,103336,53444.6,34255,102249,8424.21,5.236
108740,72631,98117.7,43017.4,28975,97297.2,3194.7,5.252
77924.6,57719,88478.1,26304.2,21067,81828,3367.2,5.271
89210.1,54900,106493,30659.5,19380,103679,2335.65,5.276
73242.2,47987,100027,28364.5,20639,90067.2,7923.27,5.3
64375,46197,91323.7,29167,21969,87008.4,9661.38,5.307
78538.8,54278,94828.8,30023.3,20354,96669.2,7536.18,5.317
67704.9,46043,96368.8,26384.2,15798,109452,4558.83,5.393
124660,93022,87825.9,36677.6,27459,87538,2313.57,5.421
83449.1,64535,84743.5,21053.3,17179,80316,2597.85,5.434
92443.4,64579,93813.4,33433.3,23675,92548.4,4972.83,5.435
94022.5,68022,90586.2,32178.8,24110,87468.8,2398.44,5.443
96790.8,72862,87058.8,61154,49095,81633.4,3113.28,5.459
86791.1,62186,91466.6,39285.8,29523,87207.8,5408.22,5.484
92354.7,67072,90239.7,33886.6,25980,85480.8,3403.77,5.486
66072.6,47295,91555.9,24856.6,18543,87849.8,5072.19,5.487
62215.2,45894,88842.4,32264.4,23854,88642.6,4353.21,5.5
77434.7,52714,96269.7,18117.3,12391,95822.6,2428.11,5.515
63963.9,38415,109122,33638.2,20322,108479,5562.09,5.53
86955.8,57022,99939.3,28925.5,19447,97478.3,2615.1,5.546
68820.3,52454,85984,24049.3,19930,79081.4,5560.71,5.548
106218,72261,96332.9,31206.6,21393,95599.4,5217.78,5.575
113843,80255,92963.7,38255,28258,88721,3729.45,5.585
94319.2,70542,87625.9,38635.9,31859,79476.4,3919.2,5.622
104044,71937,94786.2,57726.1,40133,94265,9809.73,5.638
76465.6,51906,96544.7,41705.7,30082,90859.1,3535.56,5.657
110821,81599,89005.6,44600.9,32994,88590.8,2331.51,5.69
73096.6,51305,93372.2,39887.5,27117,96399.6,6647.46,5.728
91427.4,62863,95315,36496.9,26047,91828.6,6770.97,5.735
72113.3,48163,98125.4,30146.1,20515,96302.9,2382.57,5.756
96187.2,62084,101535,29828,20692,94471.7,3621.81,5.757
88307,63730,90809.4,33209.7,25178,86441.8,8934.12,5.763
