"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
95838.7,81507,77059.5,67821.5,64029,69417.7,14717.6,24593.2,0.419
101939,80261,83236.7,115254,105059,71895.9,26088.8,55519.1,0.419
190381,172398,72372,107619,99509,70877,23756.6,54937,0.419
115282,94964,79557.7,102183,91378,73285.4,21516.1,39573.7,0.421
169369,158001,70251.4,195670,179415,71473.7,22965.1,62545.2,0.421
176202,162530,71048.7,153386,137096,73323.3,27218.6,56038.4,0.422
165893,146568,74176.9,134264,125182,70290.6,11786.2,26895.2,0.423
161800,141028,75189,146204,134214,71390.8,30110.1,54361.1,0.423
152919,145297,68973.8,151829,141571,70284.5,22401.6,45661.9,0.423
96862.2,80231,79121.1,63814.2,59657,70102.9,13106.4,30648.4,0.424
117080,94733,80995.3,80300.9,76011,69234.7,11649.4,27585.1,0.424
93842.3,77963,78884.2,72333,67060,70689.2,23669.7,41526,0.425
145753,118811,80397.3,149060,134308,72734.5,14014.9,24451.3,0.425
172528,154369,73245.1,184439,169655,71247,11050.6,23412.6,0.428
123787,99899,81207.3,93217.9,87130,70115.1,18338.5,34073.6,0.428
172536,149440,75664.8,110318,97366,74253.8,20837.4,36937.6,0.432
180915,161976,73198.7,150230,138746,70960.6,15904.3,27228.4,0.433
122550,100773,79698,80227.6,75063,70045.1,17352.4,28519.5,0.435
161188,136836,77199.2,91879.4,85174,70695.4,22372.9,45523.6,0.436
120113,104397,75401.8,73238.2,68623,69943.6,16902.6,30843.2,0.436
121766,102336,77978.8,80478.1,73862,71406.3,22369.7,38123.4,0.436
130822,123648,69338.5,149681,140482,69827.4,12350.7,148628,0.438
152619,145308,68833.3,164677,154106,70031.6,11750.5,27600.8,0.439
166271,143829,75761.6,80687.7,74263,71205.7,42665.2,71153.8,0.439
182236,137624,86780.2,189918,158974,78292.5,23861.4,44745.8,0.439
122831,105076,76609.8,69331.6,65222,69665.4,16788.9,28212.4,0.439
132577,111940,77618.1,83761,79238,69276.9,11211.4,24120.8,0.44
126437,105968,78195.4,95345.6,90022,69411.6,14399.4,31910.7,0.445
115685,107352,70623.4,64412.6,59198,71308.9,4663.81,9474.3,0.446
126627,105037,79007,102743,95371,70602.1,26449.7,54007,0.446
166873,143724,76091.5,193658,173258,73252.4,50316.3,89991.1,0.448
160774,131602,80063.1,108751,100232,71106.4,26918.8,42597.8,0.448
109894,92978,77459.3,189079,172078,72010.7,19473,42274.2,0.449
123130,98436,81976.3,206115,186546,72410.7,9873.29,18719.8,0.449
135670,120569,73744,149152,132719,73650.4,53499.6,89811.8,0.451
141718,120573,77029.2,149232,134347,72797.1,23704.4,47851.7,0.451
104466,78601,87101.7,84615,78719,70444.6,17300.2,32076.9,0.451
140234,115404,79636.4,106158,96366,72195.3,23486.4,40743.8,0.452
110692,93224,77815.7,123525,114814,70508.2,16200.9,28007.9,0.452
120793,98329,80508.4,107632,98415,71674,23333.2,35964.9,0.453
166923,144241,75841.8,156840,140903,72948.5,19906.8,40403.7,0.453
110303,100269,72094.5,141244,129739,71347.6,8615.1,23900.6,0.454
95379.6,83149,75175.9,114571,105919,70889.3,15296.2,169462,0.46
115427,98821,76549,119613,110404,71002.3,16643.2,80063.5,0.463
157929,138999,74461,129413,115277,73572.5,25800.2,44050.7,0.463
109911,98860,72861.9,140336,130750,70341,9495.88,184305,0.465
161800,140037,75721.1,78852.4,74787,69098.5,12675.4,21872.7,0.466
99437.3,82105,79370.6,85039,79307,70272.7,10964.6,26310.5,0.467
105908,92689,74882.3,188591,174727,70736.2,17871.3,262143,0.467
139217,122608,74413.6,165541,149158,72734.3,8538.02,25470.1,0.467
111989,93009,78909.9,87323.6,82263,69567.6,17773.1,33040,0.467
116953,97205,78850,71191.8,65927,70769.6,34637.1,52889,0.468
150915,112820,87665.2,86617.2,80674,70364,10159,17689.7,0.468
94614.6,77352,80161.7,79427.2,75038,69369.4,20005.1,36192,0.469
138990,116366,78277.5,123565,113331,71454.2,16518.2,28355.9,0.47
184596,162748,74333.9,85219,80494,69383,8562.46,16232.5,0.471
98280.8,85433,75391.6,138072,128555,70387.9,11765.5,23309,0.472
116535,96716,78965.3,150265,131262,75023.8,10883.3,22781.8,0.473
169671,136528,81445.3,121784,105222,75851.1,20899.5,34207.5,0.475
