step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,3.436302615202552e-05,2.831129118716844e-05,4.4576103764885e-05,2.0210685683752793e-05,2.7189458638271577e-05,2.1574581421044767e-05,3.080242342243905e-05,2.533339901520994e-05,4.132846605738546e-05,2.4527919720866e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,wuhan,4.8642749740926765e-05,3.563639297369576e-05,3.927011908179056e-05,3.132344047968802e-05,3.226117311396858e-05,2.8128212857812016e-05,4.642271467398799e-05,3.156630882045428e-05,4.61983846655516e-05,2.874976839056054e-05
ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,3.276646470841259e-05,3.615904096067107e-05,2.6545473844698123e-05,2.201832888017095e-05,3.370729256163976e-05,3.0458255769820205e-05,2.2611016891158303e-05,2.8126531548964087e-05,3.507183824203812e-05,2.3104191370910005e-05
ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,4.257982980713753e-05,3.162599712910164e-05,2.9988222938643584e-05,4.2233284860379006e-05,2.0799032546107243e-05,1.8842980860065953e-05,3.548161209206101e-05,3.602736222723225e-05,4.386844614434694e-05,3.533860286314034e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,2.6064016301352717e-05,2.673149039149658e-05,2.056848526781379e-05,1.6777176687191816e-05,2.6875364465419673e-05,2.5341182429878323e-05,1.8070942531585147e-05,2.2966990182312974e-05,3.555720741091284e-05,1.9355668467062164e-05
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,4.753391850405785e-05,3.8130786013464144e-05,2.9717210887956905e-05,2.3137634050171686e-05,4.141598087243828e-05,3.4357970433917134e-05,2.643363018302655e-05,2.901980856611643e-05,4.3112775724419314e-05,2.5390099271896204e-05
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,2.2163941201597628e-05,1.7794211076719264e-05,3.0896356861985793e-05,1.2251355704851428e-05,1.6989245042210996e-05,1.6623449337230743e-05,2.41149590513756e-05,1.3979250129831328e-05,2.456361245884263e-05,1.4946112065036933e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,4.115132224598892e-05,3.0519505477385436e-05,3.1462758599704393e-05,2.4710443244571488e-05,2.5629879189576446e-05,2.2934799530915535e-05,3.3074854977736966e-05,2.4188792648908024e-05,3.635996549968241e-05,2.2587127851503722e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,3.4056358940652314e-05,4.0025240567644144e-05,2.7971291506108782e-05,2.2993671060018763e-05,3.385834775766752e-05,3.222383819387742e-05,2.3936295188389648e-05,2.938080527226534e-05,3.805809970598269e-05,2.5470234414622934e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,2.951384191240728e-05,2.447695437002057e-05,3.65841059121044e-05,1.7696313080609504e-05,2.3702727225461597e-05,1.8738269339714217e-05,2.6712742025378263e-05,2.1130456103601244e-05,3.57979756579631e-05,2.0225134312147694e-05
